Main Category	Sub Category	Sub Category	Sub Category	Sub Category	Sub Category	AIDS Resource Center	Bankruptcy Pro se Clinic for Chapter 7 only	Catholic Charities	Center for Drivers License Recovery	Aging and Disability Resource Centers	Centro Legal	Civitas	Civil Appeals Help Desk	Disability Resource Center	Disability Rights WI	Dry Hooch brief legal advice for Veterans	ELCA Outreach Center (Kenosha)	Federal pro se civil help line	Kids Matter	Lagmann	Legal Action of WI	Legal Aid Society of MKE	MBA LRIS	Metro Milwaukee Foreclosure Mediation Program	Milwaukee Justice Center Family Forms Clinic	Milwaukee Justice Cener Family Law Advice Clinic	Milwaukee Justice Center Parenting Conference	Marquette Volunteer Legal Clinics	Marquette Volunteer Legal Clinic Estate Planning Clinic	Marquette Legal Initiative for Nonprofit Corporations 	Nonprofit Legal Services of SE WI	Public Defener’s Office	Sojourner Family Peace Center	Unemployment Insurance Clinic	Waukesha Bar Referral LRIS	WisBar LRIS
			My child or I do NOT get Medicaid or BadgerCare now.	I want to apply for Medicaid for myself or for my children.																	X															
				I want to know if my children or I can get Medicaid.																	X															
				I applied for Medicaid but haven't gotten an answer.																	X															
				I applied for Medicaid but was turned down.																	X															
				I have questions about my spend-down.																	X															
			I have another problem with Medicaid or BadgerCare.																		X															
			My question is only about Access Health-CT (not about Medicaid or HUSKY).																																	
		I need help with unemployment benefits.	I am getting unemployment benefits right now.	I got a notice that my unemployment benefits are going to be lowered or cut off.																	X															
				I don't think I'm getting the right amount of unemployment benefits.																	X															
				I got a notice that I was paid too much unemployment.																	X															
				I have a different problem with my unemployment benefits.																	X															
			I am NOT getting unemployment benefits right now.	I want to apply for unemployment benefits.																																
				I applied for unemployment benefits but haven't heard back.																																
				I applied for unemployment but was turned down.																	X															
				My employer has appealed my unemployment claim.																	X															
				I have a different problem about unemployment benefits.																	X															
		I need help with other benefits programs in Wisconsin: Elder programs, fuel assistance, and more.	I need help with the Home Care Program for Elders.																		X															
			I need help with or have a problem with the Area Agency on Aging (services, transportation, and more).																		X															
			I need help with the CT Pool Trust for Elders.																																	
			I need help with fuel assistance (LIHEAP).	I get fuel assistance now and have a problem or need help.																	X															
				I want to know more about LIHEAP.																	X															
				I don't get LIHEAP. My application was denied or I have another problem with fuel assistance.																	X															
			I need help with another Wisconsin benefits program.																		X															
	I need help with federal benefits programs: Social Security, SSI, SSDI, Medicare, veterans' benefits, and more.	I need help with Social Security (SSI and SSDI).	I need information about Social Security.			X															X															
			I need help with my own SSI, SSDI, or Disabled Widows benefits.	I need help getting Social Security Disability, SSI, or Disabled Widows benefits.		X															X															
				My benefits are being lowered or cut off.		X															X															
				Social Security says they overpaid me (Notice of Overpayment) and I owe them money.																	X															
				I have another problem with my benefits.																	X															
			I need help with my child's SSI benefits.	I need help getting SSI benefits for my child.																	X															
				My child's benefits are being lowered.																	X															
				I don't think my child is getting the right amount of benefits.																	X															
				I have another problem with my child's benefits.																	X															
			I have a different problem with SSI, SSDI, or Disabled Widows benefits.																		X															
		I need help with VA benefits.																			X															
		I need help with Medicare.	I have low income and need help paying for Medicare.																		X															
			I need to find out more about Medicare or get help with a problem related to my Medicare coverage.																		X															
		I need help with another Federal benefits program																			X															
	I have health insurance through a private company or health co-op. I have a question or problem about my coverage.	I am having problems with a bill.																			X															
		I don’t think I'm getting the coverage I was promised.				X															X															
		I am having a different problem with my private health insurance.																			X															
	I have a question or problem with my health benefits at work.																				X															
	I need help with health-related expenses.	I have a problem with medical bills.	I need help paying for medical bills.																		X															
			I applied for help with paying for medical bills but I was denied.																		X															
		I want to find out about free or low-cost health clinics.																			X															
		I want to find out about free or low-cost dental care.																			X															
		I am looking for help with prescription drug coverage.																			X															
		I need other information about affordable health care.																			X															
